# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.299991,-0.000000,-0.000000,-0.023083,0.011279,0.021916,-0.011990,0.001769,0.000295,-0.000000,0.000000,-0.096784,0.061281,0.086460,-0.062636,0.011313
2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.456222,0.327801,0.196876,0.016221,-0.084885,-0.072743,0.076258,-0.015543,0.412607,0.758534,0.376605,0.165453,-0.087703,-0.155805,0.124562,-0.023273
2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.234218,0.452623,0.294751,-0.075226,-0.215224,-0.108108,0.148664,-0.031808,3.363785,2.469263,1.055722,0.128869,-0.672129,-0.500252,0.551451,-0.113483
2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.256693,-0.513397,0.333744,-0.147598,-0.054104,0.005637,0.025916,-0.006869,7.561129,1.748733,1.765692,-0.576282,-1.155788,-0.517218,0.759696,-0.161270
2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.478230,-0.331296,0.204679,-0.054856,0.010704,0.004006,-0.005944,0.001449,6.445445,-2.854070,3.144964,0.728635,1.022809,0.134178,-1.043789,0.309094
