# duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
4.250000,-0.025531,0.000000,-0.000000,-0.553022,0.585993,-0.234344,0.041359,-0.002704,-0.023023,-0.000000,0.000000,0.091527,-0.047093,0.014678,-0.002818,0.000220,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.250000,-0.215621,0.253684,0.240997,-0.292194,0.131292,-0.031961,0.004181,-0.000228,0.891422,0.067759,-0.058612,0.125738,-0.128413,0.047014,-0.007399,0.000427,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
4.250000,0.226073,0.016222,0.024634,-0.020268,-0.020909,0.020646,-0.005584,0.000479,0.162334,-0.291830,-0.054277,-0.048236,0.119920,-0.065925,0.014278,-0.001079,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
4.250000,0.072744,-0.322503,-0.038383,0.246770,-0.205004,0.080630,-0.014921,0.001038,-0.930328,0.191892,0.175902,-0.316467,0.267778,-0.101469,0.017350,-0.001105,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
